344,505,614,502,614,531,345,534
748,37,864,39,863,58,747,56
707,5,781,3,781,19,707,20
822,2,895,1,895,16,822,18
108,468,160,467,160,482,108,483
101,491,160,492,160,507,101,507
812,16,885,14,885,31,812,33
161,56,189,53,190,66,162,69
287,12,349,13,349,35,287,35
392,12,458,11,458,35,392,35
264,210,299,211,299,223,263,222
611,11,675,11,675,33,611,33
658,207,693,208,693,222,658,221
32,177,57,159,65,171,39,190
504,13,564,12,564,34,504,35
713,18,791,19,791,34,713,34
39,7,60,8,60,22,39,22
